,kw,oat,hp1_status,hp2_status,hw1_status,hw2_status,poolpump_status,roomtemp1,roomtemp2,event_flag
0,32.1375,,0.13499999999999998,0.2566666666666667,0.0,0.0,0.0,72.0,72.0,0.0
1,25.999999999999993,,0.11666666666666665,0.13166666666666668,0.0,0.0,0.0,72.0,72.0,0.0
2,17.033333333333335,,0.05,0.09666666666666668,0.0,0.0,0.0,72.0,72.0,0.0
3,16.354166666666664,,0.06333333333333332,0.11166666666666666,0.0,0.0,0.0,72.0,72.0,0.0
4,14.945833333333331,,0.016666666666666666,0.03666666666666667,0.0,0.0,0.0,72.0,72.0,0.0
5,18.475,,0.10166666666666666,0.10833333333333332,0.0,0.0,0.0,72.0,72.0,0.0
6,23.879166666666666,,0.016666666666666666,0.04166666666666667,0.0,0.0,0.0,72.0,72.0,0.0
7,36.1375,,0.03333333333333333,0.24499999999999997,0.0,0.0,0.0,72.0,72.0,0.0
8,50.68333333333333,,0.1933333333333333,0.26166666666666666,0.0,0.0,0.0,72.0,72.0,0.0
9,42.400000000000006,,0.18166666666666667,0.3183333333333334,0.0,0.0,0.0,72.0,72.0,0.0
10,39.9625,,0.22833333333333333,0.44666666666666666,0.0,0.0,0.0,72.0,72.0,0.0
11,53.704166666666666,,0.22833333333333336,0.6516666666666667,0.0,0.0,0.0,72.0,72.0,0.0
12,37.77499999999999,,0.21833333333333332,0.4666666666666667,0.0,0.0,0.0,72.0,72.0,0.0
13,25.608333333333338,,0.325,0.6783333333333332,0.0,0.0,0.0,72.0,72.0,0.0
14,27.775,,0.2899999999999999,0.8083333333333332,0.0,0.0,0.0,72.0,72.0,0.0
15,33.59583333333333,,0.22166666666666668,0.8550000000000001,0.0,0.0,0.0,72.0,72.0,0.0
16,44.02083333333333,,0.19,0.8766666666666666,0.0,0.0,0.0,72.0,72.0,0.0
17,41.75416666666666,,0.25166666666666665,0.9,0.0,0.0,0.0,72.0,72.0,0.0
18,41.34583333333334,,0.2816666666666667,0.805,0.0,0.0,0.0,72.0,72.0,0.0
19,43.54999999999999,,0.26833333333333337,0.7066666666666666,0.0,0.0,0.0,72.0,72.0,0.0
20,44.858333333333334,,0.21666666666666665,0.635,0.0,0.0,0.0,72.0,72.0,0.0
21,45.404166666666676,,0.19166666666666668,0.635,0.0,0.0,0.0,72.0,72.0,0.0
22,47.0125,,0.16499999999999998,0.33333333333333337,0.0,0.0,0.0,72.0,72.0,0.0
23,42.05416666666666,,0.30500000000000005,0.3183333333333333,0.0,0.0,0.0,72.0,72.0,0.0
